"","season","off","fumbles","fep","fumble_rate_100","post"
"113",2003,"NE",19,825,2.3030303030303,0
"114",2003,"NO",24,798,3.00751879699248,0
"115",2003,"NYG",25,779,3.20924261874198,0
"116",2003,"NYJ",15,758,1.97889182058047,0
"117",2003,"OAK",18,751,2.39680426098535,0
"118",2003,"PHI",16,750,2.13333333333333,0
"119",2003,"PIT",15,797,1.88205771643664,0
"120",2003,"SD",17,745,2.28187919463087,0
"121",2003,"SEA",15,815,1.84049079754601,0
"122",2003,"SF",21,828,2.53623188405797,0
"123",2003,"STL",22,835,2.63473053892216,0
"124",2003,"TB",20,813,2.460024600246,0
"125",2003,"TEN",18,827,2.17654171704958,0
"126",2003,"WAS",17,753,2.25763612217796,0
"127",2004,"ARI",25,815,3.06748466257669,0
"128",2004,"ATL",25,799,3.12891113892365,0
"129",2004,"BAL",18,787,2.28716645489199,0
"130",2004,"BUF",18,787,2.28716645489199,0
"131",2004,"CAR",17,769,2.21066319895969,0
"132",2004,"CHI",29,748,3.87700534759358,0
"133",2004,"CIN",13,796,1.63316582914573,0
"134",2004,"CLE",24,733,3.27421555252387,0
"135",2004,"DAL",22,794,2.77078085642317,0
"136",2004,"DEN",17,854,1.99063231850117,0
"137",2004,"DET",9,730,1.23287671232877,0
"138",2004,"GB",18,837,2.1505376344086,0
"139",2004,"HOU",18,818,2.20048899755501,0
"140",2004,"IND",18,796,2.26130653266332,0
"141",2004,"JAC",16,782,2.0460358056266,0
"142",2004,"KC",19,903,2.10409745293466,0
"143",2004,"MIA",29,752,3.8563829787234,0
"144",2004,"MIN",17,817,2.08078335373317,0
"145",2004,"NE",17,844,2.01421800947867,0
"146",2004,"NO",22,762,2.88713910761155,0
"147",2004,"NYG",24,750,3.2,0
"148",2004,"NYJ",13,844,1.54028436018957,0
"149",2004,"OAK",17,689,2.46734397677794,0
"150",2004,"PHI",13,750,1.73333333333333,0
"151",2004,"PIT",13,880,1.47727272727273,0
"152",2004,"SD",20,835,2.39520958083832,0
"153",2004,"SEA",18,810,2.22222222222222,0
"154",2004,"SF",29,795,3.64779874213836,0
